label,text
negatif,"Kulepas semua yang kuinginkan tak akan kuulangi"
positif,"Pagi biar kusendiri jangan kau mendekat"
negatif,"Maafkan jika kau kusayangi dan bila kumenanti"
positif,"Wahai matahari dingin hati yang bersedih"
positif,"Pernahkah engkau coba mengerti lihatlah aku di sini"
positif,"Tak begitu tenang mulai terabaikan hari yang cerah untuk jiwa yang sepi"
positif,"Mungkinkah jika aku bermimpi salahkah tuk menanti"
positif,"Begitu terang untuk cinta yang mati kucoba bertahan dan tak bisa"
positif,"Takkan lelah aku menanti takkan hilang cintaku ini"
positif,"Biru langit kelabuku tak begitu luas seperti memudar"
negatif,"Hingga saat kau tak kembali kan kukenang di hati saja"
positif,"Kini tak terulang lagi di hari yang cerah dia telah pergi"
positif,"Kau telah tinggalkan hati yang terdalam hingga tiada cinta yang tersisa di jiwa"
negatif,"Kucoba bertahan dan tak bisa mencoba melawan kulepas semua telah hilang"
